method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,alpha,1.5908810216892695e-08,1.5908810216892695e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,beta,1.5242370857545695e-08,1.5242370857545695e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,E,1.3950542233572556e-07,1.3950542233572556e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,A,1.5974569488730418e-06,1.5974569488730418e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,B,-2.0109615458110572e-08,2.0109615458110572e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,alpha,3.290190939291736e-07,3.290190939291736e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,beta,-9.542975728634467e-09,9.542975728634467e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,E,7.7755270992398e-07,7.7755270992398e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,A,-1.7353564786384684e-05,1.7353564786384684e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,B,2.740137753578632e-06,2.740137753578632e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,alpha,-3.9596913322897165e-06,3.9596913322897165e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,beta,1.0079658971284106e-06,1.0079658971284106e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,E,-4.2530082020256e-11,4.2530082020256e-11,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,A,-1.2182466409239006e-07,1.2182466409239006e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,B,3.235854870583306e-08,3.235854870583306e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,alpha,-2.4948752741146743e-08,2.4948752741146743e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,beta,8.340890702133067e-09,8.340890702133067e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,E,5.723120465376546e-07,5.723120465376546e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,A,1.3967261363238258e-06,1.3967261363238258e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,B,2.1705970213877657e-07,2.1705970213877657e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,alpha,3.163435821539723e-07,3.163435821539723e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,beta,6.993395110322537e-08,6.993395110322537e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,E,3.924697910515036e-07,3.924697910515036e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,A,4.786048163209922e-07,4.786048163209922e-07,False
