method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,E,7.087057173857332e-07,7.087057173857332e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,A,-1.1819863443213218e-06,1.1819863443213218e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,B,-9.73665772956818e-07,9.73665772956818e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,alpha,-1.7142790455145186e-08,1.7142790455145186e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,beta,-2.8347403789398736e-08,2.8347403789398736e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,E,3.1048815064030395e-07,3.1048815064030395e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,A,-2.2141579838188857e-06,2.2141579838188857e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,B,2.5331646233876313e-06,2.5331646233876313e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,alpha,-4.936971419912966e-07,4.936971419912966e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,beta,6.160381926800794e-07,6.160381926800794e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,E,-1.3347621364523454e-06,1.3347621364523454e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,A,-6.043062757111165e-06,6.043062757111165e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,B,-8.644827000718576e-06,8.644827000718576e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,alpha,-1.1792985542351007e-06,1.1792985542351007e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,beta,-1.7175806610314481e-06,1.7175806610314481e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,E,8.861007391347279e-07,8.861007391347279e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,A,1.3654725224536894e-06,1.3654725224536894e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,B,7.251557822308397e-06,7.251557822308397e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,alpha,2.6921265870155966e-07,2.6921265870155966e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,beta,1.4781549793698086e-06,1.4781549793698086e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,E,-5.406052200242198e-07,5.406052200242198e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,A,-4.0339848347115565e-07,4.0339848347115565e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,B,-5.843214591349052e-06,5.843214591349052e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,alpha,3.049580196211402e-08,3.049580196211402e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,beta,-1.2345265286230396e-06,1.2345265286230396e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,E,3.1533330844584234e-07,3.1533330844584234e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,A,-2.804661042343082e-06,2.804661042343082e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,B,1.345478880218963e-06,1.345478880218963e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,alpha,-5.430910949713433e-07,5.430910949713433e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,beta,3.667281161285578e-07,3.667281161285578e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,E,6.248456058943358e-08,6.248456058943358e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,A,4.879629299051256e-07,4.879629299051256e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,B,-8.562778016873598e-08,8.562778016873598e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,alpha,1.0494801106584444e-07,1.0494801106584444e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,beta,-2.023783918225774e-08,2.023783918225774e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,E,5.743547649318268e-07,5.743547649318268e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,A,-4.411237793242542e-06,4.411237793242542e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,B,7.259846677882768e-06,7.259846677882768e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,alpha,-9.5493684855044e-07,9.5493684855044e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,beta,1.590937084453411e-06,1.590937084453411e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,E,2.902466564264762e-07,2.902466564264762e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,A,6.882942579843404e-07,6.882942579843404e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,B,1.6381886055188224e-06,1.6381886055188224e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,alpha,1.458625377344614e-07,1.458625377344614e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,beta,3.485989076766417e-07,3.485989076766417e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,E,5.508067374985169e-08,5.508067374985169e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,A,-3.1379693244548614e-08,3.1379693244548614e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,B,2.0376557246428416e-06,2.0376557246428416e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,alpha,2.6013880592129825e-08,2.6013880592129825e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,beta,4.1700216692395837e-07,4.1700216692395837e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,E,3.7087553803854926e-06,3.7087553803854926e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,A,2.3150293328877152e-05,2.3150293328877152e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,B,1.9786524773152137e-06,1.9786524773152137e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,alpha,4.975485758690008e-06,4.975485758690008e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,beta,6.025727535988575e-07,6.025727535988575e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,E,-8.79363629907888e-07,8.79363629907888e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,A,6.477207431827104e-07,6.477207431827104e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,B,-6.483173620710607e-06,6.483173620710607e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,alpha,1.2632648195483564e-07,1.2632648195483564e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,beta,-1.4111901131779497e-06,1.4111901131779497e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,E,1.215904195211642e-06,1.215904195211642e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,A,-2.6961489558876266e-07,2.6961489558876266e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,B,8.03792142982038e-06,8.03792142982038e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,alpha,-2.6702888266574035e-08,2.6702888266574035e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,beta,1.760387133683697e-06,1.760387133683697e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,E,7.4170098071203e-08,7.4170098071203e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,A,2.7609091915568516e-07,2.7609091915568516e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,B,2.1446955501215605e-07,2.1446955501215605e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,alpha,6.306138617831306e-08,6.306138617831306e-08,False
